,HHID,Subward,SalienceIndex,Risk_Norm,CompositeRisk
0,2301006,2301,1.0075757575757576,0.16666666666666666,0.16792929292929293
1,2301007,2301,1.0133689839572193,0.0,0.0
2,2301013,2301,1.0093582887700536,0.0,0.0
3,2301016,2301,1.0,0.5,0.5
4,2301017,2301,1.0071301247771836,0.3333333333333333,0.3357100415923945
5,2301021,2301,1.0040106951871657,0.16666666666666666,0.1673351158645276
6,2301029,2301,1.016934046345811,-0.16666666666666666,-0.1694890077243018
7,2301037,2301,1.0098039215686274,0.5,0.5049019607843137
8,2301038,2301,1.0098039215686274,0.0,0.0
9,2301041,2301,1.0106951871657754,0.6666666666666666,0.6737967914438503
10,2301043,2301,1.001336898395722,-0.16666666666666666,-0.16688948306595366
11,2301044,2301,1.0098039215686274,0.6666666666666666,0.6732026143790849
12,2301046,2301,1.0093582887700536,0.3333333333333333,0.3364527629233512
13,2301047,2301,1.0089126559714796,-0.3333333333333333,-0.33630421865715987
14,2301048,2301,1.0089126559714796,0.6666666666666666,0.6726084373143197
15,2301053,2301,1.0102495543672014,1.0,1.0102495543672014
16,2301056,2301,1.0111408199643495,0.5,0.5055704099821747
17,2301057,2301,1.0098039215686274,0.0,0.0
18,2301058,2301,1.0106951871657754,-0.3333333333333333,-0.33689839572192515
19,2301059,2301,1.0089126559714796,0.0,0.0
20,2301060,2301,1.0129233511586453,-0.16666666666666666,-0.16882055852644087
21,2301068,2301,1.0178253119429592,-0.16666666666666666,-0.16963755199049319
22,2301069,2301,1.0062388591800357,0.16666666666666666,0.16770647653000595
23,2301070,2301,1.0111408199643495,0.6666666666666666,0.6740938799762329
24,2301071,2301,1.0071301247771836,0.16666666666666666,0.16785502079619724
25,2301072,2301,1.0057932263814617,0.3333333333333333,0.3352644087938206
26,2301073,2301,1.0120320855614975,0.5,0.5060160427807487
27,2301074,2301,1.004901960784314,0.5,0.502450980392157
28,2301075,2301,1.0151515151515151,0.6666666666666666,0.6767676767676767
29,2301086,2301,1.0129233511586453,0.16666666666666666,0.16882055852644087
30,2301087,2301,1.0120320855614975,-0.16666666666666666,-0.16867201426024958
31,2301092,2301,1.0062388591800357,0.6666666666666666,0.6708259061200238
32,2301093,2301,1.0084670231729056,0.16666666666666666,0.16807783719548425
33,2301094,2301,1.0071301247771836,0.5,0.5035650623885918
34,2301096,2301,1.017379679144385,0.3333333333333333,0.339126559714795
35,2301099,2301,1.0084670231729056,-0.3333333333333333,-0.3361556743909685
36,2301100,2301,1.0080213903743316,0.0,0.0
37,2301104,2301,1.0098039215686274,0.3333333333333333,0.33660130718954245
38,2301105,2301,1.0084670231729056,0.3333333333333333,0.3361556743909685
39,2301108,2301,1.0062388591800357,0.16666666666666666,0.16770647653000595
40,2301111,2301,1.0075757575757576,0.3333333333333333,0.33585858585858586
41,2301113,2301,1.0089126559714796,0.6666666666666666,0.6726084373143197
42,2301116,2301,1.0071301247771836,1.0,1.0071301247771836
