,HHID,DroughtExp,FloodExp,PestsExp,FrostExp,HailExp,HeatExp,GroundwaterExp,HazardNumber,HazardIndex
138,2304148,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
139,2304149,2.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
140,2304150,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
141,2304151,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
142,2304152,1.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
143,2304154,4.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
144,2304155,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
145,2304157,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3,-0.07107429955783373
146,2304158,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,-1.5832934390862132
147,2304162,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
148,2304163,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,-0.8271838693220235
149,2304164,0.0,2.0,1.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
150,2304166,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
151,2304167,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
152,2304170,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
153,2304173,3.0,0.0,7.0,3.0,0.0,0.0,0.0,3,-0.07107429955783373
154,2304174,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
155,2304175,2.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
156,2304176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
157,2304177,2.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
158,2309002,1.0,0.0,4.0,3.0,0.0,0.0,7.0,4,0.685035270206356
159,2309004,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
160,2309014,2.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
161,2309016,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
162,2309021,0.0,2.0,7.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
163,2309022,3.0,1.0,7.0,7.0,1.0,2.0,3.0,7,2.953363979498925
164,2309029,7.0,3.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
165,2309030,7.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
166,2309032,4.0,2.0,7.0,7.0,0.0,7.0,4.0,6,2.1972544097347355
167,2309033,4.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
168,2309036,7.0,7.0,7.0,7.0,0.0,0.0,7.0,5,1.4411448399705458
169,2309037,0.0,2.0,7.0,7.0,0.0,7.0,0.0,4,0.685035270206356
170,2309039,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
171,2309041,2.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
172,2309042,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
173,2309045,1.0,1.0,3.0,3.0,0.0,0.0,0.0,4,0.685035270206356
174,2309053,7.0,2.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
175,2309054,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
176,2309055,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2,-0.8271838693220235
177,2309056,3.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
178,2309057,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
179,2309059,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,0.685035270206356
180,2309067,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
181,2309068,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
182,2309070,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
183,2309071,7.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
184,2309074,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
185,2309075,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
186,2309079,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
187,2309080,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
188,2309081,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
189,2309082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.339403008850403
190,2309083,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
191,2309084,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
192,2309085,1.0,1.0,7.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
193,2309086,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
194,2309087,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
195,2309088,1.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
196,2309089,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
197,2309092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.339403008850403
198,2309093,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
199,2309094,2.0,1.0,7.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
200,2309097,0.0,2.0,3.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
201,2309098,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
202,2309100,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
203,2309101,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
204,2309102,7.0,7.0,7.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
205,2309127,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
206,2309128,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
207,2309133,7.0,4.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
208,2309134,4.0,2.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
209,2309139,7.0,0.0,7.0,7.0,3.0,0.0,0.0,4,0.685035270206356
210,2309140,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
211,2309141,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
212,2309147,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
213,2309150,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2,-0.8271838693220235
214,2309151,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
215,2309152,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
216,2309154,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
217,2309155,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
218,2309158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
219,2309159,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
220,2309160,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
221,2309163,1.0,1.0,0.0,1.0,3.0,0.0,0.0,4,0.685035270206356
222,2309165,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
223,2309170,7.0,1.0,7.0,7.0,1.0,0.0,0.0,5,1.4411448399705458
224,2309171,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
225,2309174,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2,-0.8271838693220235
226,2309183,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
227,2309184,1.0,1.0,0.0,4.0,0.0,0.0,0.0,3,-0.07107429955783373
228,2309185,7.0,1.0,7.0,1.0,0.0,0.0,0.0,4,0.685035270206356
229,2309187,1.0,0.0,7.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
230,2309189,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
231,2309191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.339403008850403
232,2309192,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
233,2309196,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
234,2309197,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
235,2309198,7.0,2.0,7.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
236,2309199,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
237,2309204,5.0,2.0,7.0,7.0,0.0,0.0,5.0,5,1.4411448399705458
238,2309205,0.0,7.0,7.0,7.0,0.0,7.0,0.0,4,0.685035270206356
239,2309207,7.0,2.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
240,2309208,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2,-0.8271838693220235
241,2309211,7.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
242,2309212,0.0,1.0,7.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
243,2309214,0.0,0.0,7.0,3.0,0.0,0.0,0.0,2,-0.8271838693220235
244,2309217,0.0,2.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
245,2309218,7.0,1.0,7.0,0.0,0.0,7.0,0.0,4,0.685035270206356
246,2309219,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
247,2309222,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
248,2309227,2.0,1.0,2.0,1.0,0.0,0.0,0.0,4,0.685035270206356
249,2309228,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
250,2309229,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
251,2309232,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
252,2309233,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2,-0.8271838693220235
253,2605003,0.0,0.0,7.0,7.0,0.0,0.0,4.0,3,-0.07107429955783373
254,2605004,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
255,2605005,1.0,1.0,4.0,1.0,0.0,0.0,0.0,4,0.685035270206356
256,2605009,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,0.685035270206356
257,2605016,0.0,0.0,3.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
258,2605017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
259,2605018,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3,-0.07107429955783373
260,2605019,4.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
261,2605021,3.0,1.0,5.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
262,2605022,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,0.685035270206356
263,2605023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
264,2605024,2.0,1.0,0.0,0.0,0.0,3.0,0.0,3,-0.07107429955783373
265,2605025,0.0,1.0,7.0,6.0,0.0,0.0,0.0,3,-0.07107429955783373
266,2605026,1.0,0.0,4.0,2.0,0.0,1.0,1.0,5,1.4411448399705458
267,2605027,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
268,2605029,2.0,2.0,7.0,1.0,0.0,0.0,0.0,4,0.685035270206356
269,2605030,1.0,0.0,7.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
270,2605031,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2,-0.8271838693220235
271,2605032,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
272,2605033,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
273,2605042,1.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
274,2605045,2.0,2.0,7.0,7.0,0.0,0.0,7.0,5,1.4411448399705458
275,2605046,4.0,0.0,7.0,5.0,0.0,1.0,0.0,4,0.685035270206356
276,2605048,1.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
277,2605049,1.0,2.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
278,2605050,0.0,2.0,7.0,2.0,0.0,0.0,0.0,3,-0.07107429955783373
279,2605051,4.0,2.0,7.0,7.0,0.0,0.0,1.0,5,1.4411448399705458
280,2605052,2.0,1.0,7.0,7.0,1.0,0.0,0.0,5,1.4411448399705458
281,2605053,0.0,7.0,7.0,7.0,0.0,7.0,0.0,4,0.685035270206356
282,2605055,1.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
283,2605056,0.0,2.0,7.0,7.0,0.0,0.0,7.0,4,0.685035270206356
284,2605058,1.0,1.0,7.0,7.0,0.0,0.0,7.0,5,1.4411448399705458
285,2605059,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
286,2605061,0.0,3.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
287,2605062,0.0,1.0,7.0,2.0,0.0,0.0,0.0,3,-0.07107429955783373
288,2605064,7.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
289,2605065,0.0,1.0,5.0,5.0,0.0,0.0,0.0,3,-0.07107429955783373
290,2605066,7.0,6.0,7.0,7.0,1.0,0.0,1.0,6,2.1972544097347355
291,2605067,3.0,2.0,3.0,3.0,0.0,2.0,0.0,5,1.4411448399705458
292,2605068,0.0,2.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
293,2605076,2.0,1.0,7.0,7.0,0.0,1.0,0.0,5,1.4411448399705458
294,2605078,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3,-0.07107429955783373
295,2605080,0.0,2.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
296,2605081,1.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
297,2605083,1.0,1.0,7.0,0.0,0.0,0.0,7.0,4,0.685035270206356
298,2605084,4.0,2.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
299,2605085,3.0,2.0,7.0,7.0,0.0,0.0,6.0,5,1.4411448399705458
300,2605086,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
301,2605089,0.0,1.0,5.0,5.0,0.0,0.0,0.0,3,-0.07107429955783373
302,2610001,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
