,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
1153,2309208,0:07,1,41,1,1,9,0,5,0,0,-1,N63,2077-08,1,1,1,0,0,0,0,0
1157,2309211,0:08,1,48,1,1,10,0,5,0,0,-1,N56,2051-01,1,1,1,0,0,0,0,0
1164,2309212,0:09,1,54,1,1,3,0,5,1,0,-1,N93,2060-08,1,0,1,0,0,0,0,0
1169,2309214,0:06,1,45,1,1,7,0,5,0,0,-1,N68,2060-02,1,1,1,0,0,0,0,0
1173,2309217,0:05,1,50,1,1,0,0,5,0,0,-1,N68,2049-11,1,0,1,0,0,0,0,0
1183,2309218,0:07,1,28,1,1,10,0,6,0,0,-1,N56,2070-11,5,1,0,0,0,0,1,0
1186,2309219,0:05,1,40,1,1,8,0,5,0,0,-1,N68,2074-01,1,1,1,0,0,0,0,0
1188,2309222,0:10,1,55,1,1,0,0,5,0,0,-1,N56,2045-01,5,0,0,0,0,0,1,0
1194,2309227,0:05,1,57,0,1,9,0,5,0,0,-1,N67,2062-10,1,1,1,0,0,0,0,0
1200,2309228,0:05,1,49,0,1,0,0,5,1,0,-1,0,-1,5,0,0,0,0,0,1,0
1205,2309229,0:07,1,45,0,1,6,0,3,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1208,2309232,0:13,1,67,0,1,5,0,5,0,0,-1,N68,2051-01,1,0,1,0,0,0,0,0
1214,2309233,0:05,1,46,0,1,12,0,5,0,0,-1,N68,2049-12,1,1,1,0,0,0,0,0
1217,2605003,0:09,1,56,1,1,10,0,6,1,0,-1,N56,2040-11,1,1,1,0,0,0,0,0
1222,2605004,0:08,1,68,0,1,1,0,5,1,0,-1,N65,2066-10,1,0,1,0,0,0,0,0
1228,2605005,0:04,1,51,0,1,8,0,1,0,0,-1,0,-1,1,1,1,0,0,0,0,0
1230,2605009,0:09,1,57,1,3,0,0,5,0,0,-1,N49,2069-09,1,0,1,0,0,0,0,0
1235,2605016,0:08,1,23,1,1,9,0,5,0,0,-1,N64,2073-01,2,1,0,1,0,0,0,0
1239,2605017,0:10,1,43,1,1,0,0,5,0,0,-1,N64,2050-08,2,0,0,1,0,0,0,0
1246,2605018,0:04,1,70,1,1,0,0,5,0,0,-1,N63,2028-12,2,0,0,1,0,0,0,0
1250,2605019,0:14,1,69,0,1,5,0,5,0,0,-1,N63,2021-01,2,0,0,1,0,0,0,0
1258,2605021,0:05,1,39,1,1,12,0,2,0,0,-1,N64,2060-01,2,1,0,1,0,0,0,0
1262,2605022,0:05,1,31,1,1,10,0,5,0,0,-1,N63,2069-03,2,1,0,1,0,0,0,0
1266,2605023,0:04,1,32,0,1,10,0,3,1,0,-1,N67,2076-01,1,1,1,0,0,0,0,0
1269,2605024,0:06,1,56,0,1,5,0,5,1,0,-1,N63,2025-12,2,0,0,1,0,0,0,0
1272,2605025,0:05,1,42,0,1,10,0,2,1,0,-1,F091,2049-12,1,1,1,0,0,0,0,0
1277,2605026,0:06,1,42,0,1,10,0,2,1,F971,2069-07,N56,2075-01,1,1,1,0,0,0,0,0
1280,2605027,0:04,1,82,0,1,0,0,5,1,0,-1,N67,2049-12,1,0,1,0,0,0,0,0
1282,2605029,0:04,1,68,0,1,10,0,5,1,0,-1,N67,2061-07,1,1,1,0,0,0,0,0
1286,2605030,0:08,1,42,1,1,10,0,5,0,0,-1,N56,2058-02,1,1,1,0,0,0,0,0
1292,2605031,0:08,1,52,1,1,10,0,5,0,0,-1,N63,2049-10,2,1,0,1,0,0,0,0
1296,2605032,0:09,1,55,0,1,4,0,5,1,0,-1,0,-1,2,0,0,1,0,0,0,0
1303,2605033,0:10,1,50,0,1,5,0,1,1,0,-1,0,-1,1,0,1,0,0,0,0,0
1311,2605042,0:05,1,26,1,1,14,PII,4,0,0,-1,N84,2077-04,1,1,1,0,0,0,0,0
1317,2605045,0:09,1,23,1,0,14,PII,4,0,0,-1,N56,2067-01,3,1,0,0,1,0,0,0
1320,2605046,0:05,1,75,0,1,9,0,5,0,0,-1,N62,2060-07,1,1,1,0,0,0,0,0
1323,2605048,0:05,1,43,1,1,3,0,2,0,0,-1,N63,2062,1,0,1,0,0,0,0,0
1327,2605049,0:10,1,49,1,1,0,0,5,0,0,-1,N65,2057-01,2,0,0,1,0,0,0,0
1335,2605050,0:05,1,28,0,1,8,0,5,1,0,-1,0,-1,1,1,1,0,0,0,0,0
1339,2605051,0:03,1,54,1,1,0,0,5,0,0,-1,N56,2038,1,0,1,0,0,0,0,0
1347,2605052,0:10,1,25,1,0,12,PII,4,0,0,-1,N65,2070-01,2,1,0,1,0,0,0,0
1350,2605053,0:03,1,61,1,3,0,0,5,1,0,-1,F091,2051,1,0,1,0,0,0,0,0
1354,2605055,0:03,1,33,1,1,7,0,5,1,0,-1,F091,2064-08,2,1,0,1,0,0,0,0
1360,2605056,0:06,1,40,1,1,10,0,5,0,0,-1,N56,2061-01,1,1,1,0,0,0,0,0
1365,2605058,0:08,1,40,1,1,12,0,6,0,0,-1,N56,2063-11,1,1,1,0,0,0,0,0
1372,2605059,0:10,1,44,1,1,10,0,5,1,0,-1,N63,2072-04,1,1,1,0,0,0,0,0
1375,2605061,0:12,1,72,0,1,0,0,5,0,0,-1,N63,2075-11,1,0,1,0,0,0,0,0
1383,2605062,0:08,1,53,0,1,8,0,5,1,0,-1,N63,2068-01,1,1,1,0,0,0,0,0
1386,2605064,0:05,1,43,0,1,8,0,5,1,0,-1,N67,2066-12,1,1,1,0,0,0,0,0
1389,2605065,0:05,1,30,1,1,8,0,5,0,0,-1,N56,2069-11,1,1,1,0,0,0,0,0
1392,2605066,0:07,1,45,1,3,0,0,5,1,0,-1,N65,2068-10,1,0,1,0,0,0,0,0
1397,2605067,0:06,1,35,1,1,10,0,5,0,0,-1,N67,2072-01,1,1,1,0,0,0,0,0
1403,2605068,0:12,1,40,1,1,7,0,5,0,0,-1,N63,2068-02,1,1,1,0,0,0,0,0
1408,2605076,0:14,1,57,0,1,12,0,5,0,0,-1,0,-1,1,1,1,0,0,0,0,0
1412,2605078,0:09,1,49,0,1,5,0,1,1,0,-1,N63,2062-09,1,0,1,0,0,0,0,0
1416,2605080,0:03,1,40,1,1,10,0,5,1,0,-1,N67,2068-09,1,1,1,0,0,0,0,0
1419,2605081,0:04,1,66,1,1,0,0,5,0,0,-1,N64,2017-02,2,0,0,1,0,0,0,0
1425,2605083,0:09,1,31,0,1,12,0,0,1,0,-1,N49,2048-08,1,1,1,0,0,0,0,0
1429,2605084,0:05,1,46,1,1,4,0,5,0,0,-1,N56,2069-01,2,0,0,1,0,0,0,0
1435,2605085,0:04,1,30,1,1,4,0,5,0,0,-1,N65,2072-10,2,0,0,1,0,0,0,0
1441,2605086,0:07,1,22,0,0,12,PII,4,0,0,-1,N64,2073-02,3,1,0,0,1,0,0,0
1445,2605089,0:06,1,36,1,1,10,0,5,0,0,-1,N63,2069-03,1,1,1,0,0,0,0,0
1447,2610001,0:04,1,54,1,1,0,0,5,0,0,-1,0,-1,3,0,0,0,1,0,0,0
1450,2610002,0:06,1,38,1,1,0,0,5,0,0,-1,N64,2057-11,3,0,0,0,1,0,0,0
1457,2610003,0:04,1,40,1,0,8,0,5,0,0,-1,0,-1,3,1,0,0,1,0,0,0
1459,2610004,0:03,1,85,0,1,0,0,5,0,0,-1,N10,2042-01,2,0,0,1,0,0,0,0
1463,2610005,0:07,1,37,1,1,6,0,5,0,0,-1,N56,2066-10,5,1,0,0,0,0,1,0
1467,2610007,0:05,1,31,0,1,5,0,5,1,0,-1,0,-1,5,0,0,0,0,0,1,0
1468,2610009,0:06,1,50,1,1,0,0,5,0,0,-1,N56,2047-03,5,0,0,0,0,0,1,0
1473,2610010,0:06,1,26,1,1,12,0,5,0,0,-1,N78,2073-02,5,1,0,0,0,0,1,0
1475,2610011,0:07,1,74,1,1,0,0,5,0,0,-1,N65,2032-02,2,0,0,1,0,0,0,0
1482,2610012,0:08,1,42,1,1,3,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1489,2610013,0:07,1,36,1,1,8,0,5,0,0,-1,N56,2069-01,5,1,0,0,0,0,1,0
1492,2610014,0:06,1,34,1,1,7,0,5,0,0,-1,N78,2071-01,5,1,0,0,0,0,1,0
1496,2610015,0:10,1,26,0,0,10,0,1,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1501,2610017,0:06,1,43,0,1,10,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1504,2610018,0:08,1,51,0,0,10,0,2,1,F971,2069-05,0,-1,5,1,0,0,0,0,1,0
1509,2610019,0:07,1,39,0,1,8,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1517,2610020,0:13,1,38,0,1,7,0,0,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1519,2610021,0:05,1,59,1,1,0,0,5,0,0,-1,N78,2040-01,5,0,0,0,0,0,1,0
1523,2610022,0:03,1,30,1,1,9,0,5,0,0,-1,N56,2068-11-12,5,1,0,0,0,0,1,0
1525,2610023,0:07,1,50,0,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1529,2610024,0:05,1,50,1,1,0,0,5,0,0,-1,N56,2049-11,5,0,0,0,0,0,1,0
1534,2610025,0:10,1,40,0,1,7,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1536,2610026,0:03,1,35,1,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1541,2610027,0:05,1,36,0,1,8,0,2,1,F966,2078-06,0,-1,5,1,0,0,0,0,1,0
1544,2610028,0:03,1,64,0,1,10,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1550,2610029,0:05,1,31,1,1,8,0,5,0,0,-1,N12,2068-08,1,1,1,0,0,0,0,0
1554,2610031,0:10,1,70,0,1,3,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1562,2610032,0:04,1,38,0,1,10,0,1,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1563,2610033,0:07,1,49,1,1,0,0,5,0,0,-1,N55,2067-05,5,0,0,0,0,0,1,0
1568,2610034,0:15,1,28,0,1,12,0,1,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1573,2610035,0:10,1,33,1,1,7,0,5,0,0,-1,N56,2061-01,5,1,0,0,0,0,1,0
1580,2610036,0:13,1,37,1,1,6,0,5,0,0,-1,N56,2065-01,5,1,0,0,0,0,1,0
1586,2610037,0:05,1,42,0,1,9,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1592,2610038,0:13,1,48,0,1,10,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1595,2610040,0:06,1,45,0,1,10,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1600,2610041,0:06,1,53,0,1,14,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1606,2610042,0:08,1,53,0,1,14,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1607,2610043,0:05,1,64,0,1,12,0,1,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1612,2610044,0:06,1,50,1,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1616,2610045,0:06,1,41,1,1,5,0,5,0,0,-1,N71,2055-10,5,0,0,0,0,0,1,0
1620,2610046,0:05,1,41,0,1,10,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1625,2610047,0:04,1,40,0,1,10,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1627,2610048,0:12,1,62,1,1,0,0,5,0,0,-1,N56,2032-10,5,0,0,0,0,0,1,0
1631,2610049,0:05,1,53,1,1,0,0,5,0,0,-1,N56,2040,5,0,0,0,0,0,1,0
1635,2610050,0:11,1,60,1,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1641,2610051,0:05,1,30,1,1,12,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1646,2610052,0:04,1,34,1,1,12,0,5,0,0,-1,N56,2063-11,5,1,0,0,0,0,1,0
1648,2610053,0:07,1,32,1,1,0,0,5,0,0,-1,N78,2067-01,5,0,0,0,0,0,1,0
1652,2610054,0:06,1,33,1,1,6,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1661,2610055,0:05,1,40,0,1,10,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1664,2610056,0:05,1,51,0,1,7,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1671,2610057,0:08,1,28,1,1,10,0,5,0,0,-1,N78,2069-03,5,1,0,0,0,0,1,0
1674,2610058,0:06,1,27,1,1,10,0,5,0,0,-1,N78,2070-08,5,1,0,0,0,0,1,0
1678,2610059,0:09,1,24,1,1,8,0,5,0,0,-1,N56,2074-11,5,1,0,0,0,0,1,0
1686,2610060,0:10,1,25,1,1,9,0,5,0,0,-1,N56,2074-10,5,1,0,0,0,0,1,0
1688,2610061,0:11,1,50,1,1,0,0,5,0,0,-1,N78,2048-01,5,0,0,0,0,0,1,0
1693,2610062,0:08,1,60,1,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1697,2610063,0:10,1,58,1,1,0,0,5,0,0,-1,N62,2068-08,5,0,0,0,0,0,1,0
1703,2610064,0:09,1,49,1,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1709,2610066,0:08,1,53,1,1,0,0,5,0,0,-1,N56,2045-02,5,0,0,0,0,0,1,0
1713,2610067,0:07,1,56,0,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1719,2610068,0:08,1,41,0,1,10,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1720,2610070,0:06,1,49,1,1,0,0,5,0,0,-1,N78,2050-01,5,0,0,0,0,0,1,0
1723,2610071,0:05,1,38,1,1,3,0,5,0,0,-1,N56,2060-02,5,0,0,0,0,0,1,0
1729,2610072,0:07,1,39,0,1,11,0,1,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1733,2610073,0:06,1,34,0,1,10,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
1737,2610074,0:08,1,55,0,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1744,2610075,0:05,1,30,1,1,10,0,5,0,0,-1,N78,2068-08,5,1,0,0,0,0,1,0
1748,2610076,0:08,1,34,1,1,10,0,2,0,0,-1,N78,2070-08,5,1,0,0,0,0,1,0
1752,2610077,0:09,1,46,1,1,6,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1757,2610078,0:10,1,45,1,1,0,0,5,0,0,-1,N56,2056-01,5,0,0,0,0,0,1,0
1765,2610079,0:09,1,42,1,1,7,0,5,0,0,-1,N78,2058-11,5,1,0,0,0,0,1,0
1773,2610081,0:06,1,25,0,1,12,PII,4,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1776,2610083,0:02,1,54,0,1,4,0,5,1,0,-1,N56,2072-11,5,0,0,0,0,0,1,0
1781,2610084,0:09,1,28,0,0,10,0,5,1,0,-1,0,-1,1,1,1,0,0,0,0,0
1785,2610085,0:07,1,61,0,1,10,0,5,1,0,-1,F091,2018-01,3,1,0,0,1,0,0,0
1789,2610086,0:08,1,53,1,1,0,0,5,0,0,-1,0,-1,1,0,1,0,0,0,0,0
1794,2610087,0:20,1,43,1,1,5,0,5,0,0,-1,N10,2053-04,2,0,0,1,0,0,0,0
1800,2610088,0:05,1,39,1,1,1,0,5,0,0,-1,N62,2060-11,3,0,0,0,1,0,0,0
1804,2610090,0:05,1,62,0,1,4,0,5,0,0,-1,N23,2052-09,2,0,0,1,0,0,0,0
1808,2610091,0:07,1,56,0,1,2,0,5,0,0,-1,0,-1,3,0,0,0,1,0,0,0
1813,2610092,0:05,1,53,0,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1819,2610093,0:10,1,29,1,1,9,0,5,0,0,-1,N56,2070-06,6,1,0,0,0,0,0,1
1823,2610095,0:03,1,39,1,1,4,0,2,0,0,-1,N67,2050-02,2,0,0,1,0,0,0,0
1826,2610100,0:06,1,32,1,1,4,0,6,0,0,-1,N56,2068-09,6,0,0,0,0,0,0,1
1831,2610101,0:09,1,29,1,1,6,0,6,0,0,-1,N56,2073-03,3,1,0,0,1,0,0,0
1839,2610102,0:06,1,27,1,1,8,0,5,0,0,-1,N56,2070-10,3,1,0,0,1,0,0,0
1842,2610103,0:08,1,45,1,1,4,0,5,0,0,-1,N56,2055-10,1,0,1,0,0,0,0,0
1845,2610104,0:09,1,77,0,1,0,0,5,0,0,-1,N64,2021-10,3,0,0,0,1,0,0,0
1847,2610105,0:07,1,49,1,1,0,0,5,0,0,-1,N78,2055-01,3,0,0,0,1,0,0,0
1850,2610106,0:05,1,38,1,1,3,0,5,1,0,-1,0,-1,3,0,0,0,1,0,0,0
1855,2610107,0:09,1,43,1,1,10,0,5,0,0,-1,0,-1,2,1,0,1,0,0,0,0
1859,2610108,0:07,1,39,1,1,7,0,5,0,0,-1,0,-1,2,1,0,1,0,0,0,0
1862,2610109,0:10,1,72,1,3,0,0,5,0,0,-1,N62,2025-08,2,0,0,1,0,0,0,0
1870,2610111,0:05,1,60,0,1,4,0,1,0,0,-1,N62,2045-10,2,0,0,1,0,0,0,0
1875,2610118,0:06,1,21,1,1,9,0,6,0,0,-1,N65,2074-11,1,1,1,0,0,0,0,0
1880,2610119,0:08,1,21,1,1,8,0,6,0,0,-1,N78,2073-08,1,1,1,0,0,0,0,0
1885,2610123,0:05,1,36,1,1,5,0,5,0,0,-1,N56,2076-06,3,0,0,0,1,0,0,0
1887,2610124,0:07,1,39,1,1,0,0,2,0,0,-1,N78,2067-12,3,0,0,0,1,0,0,0
1893,2611001,0:06,1,35,1,1,12,0,5,0,0,-1,N65,2073-02,4,1,0,0,0,1,0,0
1899,2611002,0:06,1,43,0,1,7,0,2,1,F966,2062-06,0,-1,5,1,0,0,0,0,1,0
1904,2611003,0:07,1,40,0,1,10,0,5,1,F974,2064-12,0,-1,5,1,0,0,0,0,1,0
1907,2611004,0:06,1,44,1,1,8,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1911,2611005,0:07,1,50,0,1,6,0,5,1,F974,2064-02,0,-1,5,1,0,0,0,0,1,0
1918,2611006,0:15,1,43,1,1,10,0,5,0,0,-1,0,-1,1,1,1,0,0,0,0,0
1927,2611007,0:09,1,60,0,1,8,0,5,1,0,-1,N65,2075-10,4,1,0,0,0,1,0,0
1930,2611008,0:09,1,46,1,1,0,0,5,0,0,-1,0,-1,3,0,0,0,1,0,0,0
1934,2611009,0:08,1,45,0,1,10,0,1,1,0,-1,N65,2073-12,2,1,0,1,0,0,0,0
1938,2611010,0:05,1,41,0,1,8,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
1941,2611011,0:06,1,28,1,1,3,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1947,2611012,0:05,1,56,0,1,10,0,5,1,0,-1,N56,2036-04,3,1,0,0,1,0,0,0
1952,2611013,0:07,1,25,1,1,7,0,5,0,0,-1,N56,2070-01,5,1,0,0,0,0,1,0
1958,2611014,0:06,1,27,1,1,10,0,5,0,0,-1,N61,2073-07,3,1,0,0,1,0,0,0
1960,2611015,0:07,1,37,1,1,3,0,5,1,0,-1,N79,2068-05,3,0,0,0,1,0,0,0
1965,2611016,0:05,1,37,1,1,12,0,5,0,0,-1,N56,2062-08,1,1,1,0,0,0,0,0
1968,2611017,0:05,1,36,1,1,9,0,5,0,0,-1,N56,2061-01,1,1,1,0,0,0,0,0
1971,2611018,0:04,1,68,0,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
1975,2611019,0:04,1,33,1,1,4,0,5,0,0,-1,N78,2074-01,5,0,0,0,0,0,1,0
1983,2611020,0:06,1,22,1,1,9,0,6,0,0,-1,N78,2075-07,5,1,0,0,0,0,1,0
1988,2611021,0:07,1,33,1,3,8,0,5,0,0,-1,N56,2062-01,5,1,0,0,0,0,1,0
1992,2611024,0:07,1,40,0,1,7,0,5,1,0,-1,0,-1,3,1,0,0,1,0,0,0
1995,2611025,0:07,1,29,1,1,5,0,5,0,0,-1,0,-1,3,0,0,0,1,0,0,0
1998,2611026,0:08,1,40,1,1,1,0,5,0,0,-1,N64,2060-11,3,0,0,0,1,0,0,0
2002,2611027,0:10,1,40,1,1,0,0,5,0,0,-1,N78,2054-11,3,0,0,0,1,0,0,0
2007,2611028,0:07,1,62,1,1,0,0,5,1,0,-1,N62,2031,3,0,0,0,1,0,0,0
2011,2611030,0:05,1,51,1,1,1,0,5,0,0,-1,N56,2046-03,3,0,0,0,1,0,0,0
2015,2611032,0:07,1,59,0,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2020,2611033,0:03,1,44,0,1,10,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
2025,2611034,0:08,1,37,1,1,7,0,5,0,0,-1,N56,2072-01,5,1,0,0,0,0,1,0
2030,2611036,0:06,1,64,0,1,5,0,1,1,0,-1,N62,2020-01,1,0,1,0,0,0,0,0
2034,2611037,0:08,1,65,0,1,7,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2040,2611038,0:13,1,50,0,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2051,2611039,0:15,1,36,0,1,8,0,2,0,N44,2063-10,0,-1,5,1,0,0,0,0,1,0
2054,2611040,0:03,1,30,1,0,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2056,2611041,0:12,1,62,1,1,1,0,5,0,0,-1,N61,2047-03,1,0,1,0,0,0,0,0
2063,2611042,0:17,1,36,1,1,8,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2067,2611044,0:09,1,57,1,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2074,2611045,0:07,1,65,0,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2076,2611046,0:04,1,56,1,1,0,0,5,0,0,-1,N56,2038,1,0,1,0,0,0,0,0
2078,2611049,0:08,1,60,1,1,0,0,5,0,0,-1,N56,2039-06,5,0,0,0,0,0,1,0
2086,2611051,0:05,1,36,1,1,10,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2091,2611052,0:10,1,27,1,1,5,0,5,0,0,-1,N56,2067-08,1,0,1,0,0,0,0,0
2095,2611053,0:08,1,40,1,1,7,0,5,0,0,-1,N56,2066-02,5,1,0,0,0,0,1,0
2098,2611054,0:06,1,50,0,1,7,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
2101,2611056,0:25,1,61,1,3,0,0,5,1,0,-1,N65,2022-02,1,0,1,0,0,0,0,0
2112,2611058,0:04,1,59,0,1,8,0,5,1,0,-1,N62,2020-03,3,1,0,0,1,0,0,0
2115,2611060,0:10,1,26,1,1,7,0,5,0,0,-1,N56,2074-02,3,1,0,0,1,0,0,0
2121,2611061,0:08,1,29,1,1,9,0,5,0,0,-1,0,-1,2,1,0,1,0,0,0,0
2125,2611062,0:09,1,36,0,2,8,0,3,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2127,2611063,0:17,1,62,0,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2139,2611064,0:07,1,57,0,1,9,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2144,2611065,0:10,1,57,1,3,0,0,6,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2151,2611067,0:07,1,37,1,1,5,0,5,0,0,-1,N56,2062-08,5,0,0,0,0,0,1,0
2155,2611068,0:08,1,36,1,1,6,0,5,0,0,-1,N91,2059-09,5,1,0,0,0,0,1,0
2160,2611069,0:05,1,49,1,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2165,2611070,0:04,1,57,1,3,0,0,5,0,0,-1,N56,2038-10,5,0,0,0,0,0,1,0
2169,2611071,0:06,1,22,1,1,11,0,5,0,0,-1,N55,2075-10,5,1,0,0,0,0,1,0
2171,2611072,0:06,1,37,1,1,5,0,5,0,0,-1,N56,2063-02,5,0,0,0,0,0,1,0
2177,2611073,0:10,1,30,1,1,8,0,6,0,0,-1,N56,2066-08,5,1,0,0,0,0,1,0
2184,2611074,0:09,1,59,0,1,0,0,5,0,N56,-1,0,-1,5,0,0,0,0,0,1,0
2191,2611075,0:03,1,40,0,1,5,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2196,2611076,0:04,1,73,0,1,10,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2198,2611077,0:15,1,28,1,1,0,0,5,0,0,-1,N78,2072-04,1,0,1,0,0,0,0,0
2211,2611078,0:13,1,28,1,1,10,0,6,0,0,-1,N53,2071-01,1,1,1,0,0,0,0,0
2215,2611080,0:10,1,73,0,1,8,0,5,0,0,-1,N64,2044-11,1,1,1,0,0,0,0,0
2222,2611081,0:05,1,29,1,1,12,0,6,0,0,-1,N56,2069-08,1,1,1,0,0,0,0,0
2224,2611083,0:06,1,36,1,1,12,0,5,0,0,-1,N68,2070-08,1,1,1,0,0,0,0,0
2230,2611084,0:08,1,61,0,1,7,0,2,1,0,-1,N63,2077-04,1,1,1,0,0,0,0,0
2233,2611085,0:09,1,79,0,1,0,0,5,0,0,-1,N65,2016-11,1,0,1,0,0,0,0,0
2238,2611086,0:06,1,34,1,1,5,0,5,0,0,-1,N56,2060-09,5,0,0,0,0,0,1,0
2245,2611087,0:04,1,43,0,1,9,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
2251,2611088,0:05,1,45,0,1,9,0,5,0,N56,-1,0,-1,5,1,0,0,0,0,1,0
2253,2611089,0:03,1,42,1,1,0,0,6,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2264,2611090,0:09,1,33,0,1,5,0,2,1,0,-1,0,-1,5,0,0,0,0,0,1,0
2271,2611091,0:04,1,45,0,1,8,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2275,2611092,0:06,1,60,1,3,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2281,2611093,0:03,1,27,1,1,9,0,6,0,0,-1,N78,2052-10,5,1,0,0,0,0,1,0
2284,2611094,0:07,1,53,1,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
2293,2611095,0:09,1,38,0,1,10,0,5,1,N56,-1,0,-1,5,1,0,0,0,0,1,0
2298,2611096,0:06,1,41,0,1,7,0,2,1,F974,2055,0,-1,5,1,0,0,0,0,1,0
2300,2611097,0:09,1,41,0,1,7,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
2304,2611098,0:07,1,31,1,1,6,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2314,2611099,0:16,1,22,0,1,10,0,3,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2319,2611100,0:05,1,33,0,1,10,0,2,1,0,-1,0,-1,5,1,0,0,0,0,1,0
2320,2611101,0:07,1,42,1,1,0,0,5,0,0,-1,N56,2048-11,5,0,0,0,0,0,1,0
2326,2611102,0:09,1,46,0,1,10,0,5,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2330,2611103,0:06,1,22,1,1,11,0,6,0,0,-1,0,-1,5,1,0,0,0,0,1,0
2333,2611104,0:07,1,26,1,1,8,0,5,0,0,-1,N78,2069-12,3,1,0,0,1,0,0,0
2336,2611105,0:07,1,40,1,3,0,0,5,0,0,-1,N78,2045-08,3,0,0,0,1,0,0,0
2340,2611106,0:05,1,35,1,3,0,0,5,0,0,-1,N56,2060-10,3,0,0,0,1,0,0,0
