,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
329,2304026,0:07,1,36,1,1,6,0,5,0,0,-1,N56,2058-03,5,1,0,0,0,0,1,0
333,2304027,0:07,1,33,1,1,9,0,5,0,0,-1,N81,2063-03,1,1,1,0,0,0,0,0
335,2304028,0:06,1,39,1,1,4,0,5,0,0,-1,N56,2060-11,1,0,1,0,0,0,0,0
341,2304029,0:04,1,30,1,1,10,0,5,0,0,-1,N49,2059-02,1,1,1,0,0,0,0,0
343,2304030,0:10,1,40,1,1,6,0,6,0,0,-1,N56,2048-10,1,1,1,0,0,0,0,0
348,2304031,0:05,1,29,0,1,7,0,2,0,0,-1,0,-1,5,1,0,0,0,0,1,0
349,2304032,0:06,1,38,0,3,0,0,2,0,0,-1,0,-1,5,0,0,0,0,0,1,0
353,2304033,0:08,1,72,0,1,0,0,5,0,0,-1,N61,2017-10,1,0,1,0,0,0,0,0
358,2304034,0:04,1,58,0,1,10,0,5,1,0,-1,N97,2048-02,1,1,1,0,0,0,0,0
362,2304035,0:06,1,50,0,1,9,0,5,0,0,-1,N68,2046-10,1,1,1,0,0,0,0,0
367,2304036,0:04,1,26,0,1,12,0,5,0,0,-1,0,-1,1,1,1,0,0,0,0,0
370,2304037,0:05,1,48,0,1,10,0,5,1,0,-1,0,-1,1,1,1,0,0,0,0,0
373,2304038,0:08,1,62,0,1,3,0,1,0,0,-1,N64,2022-11,1,0,1,0,0,0,0,0
375,2304039,0:07,1,60,1,3,0,0,5,0,0,-1,N64,2020-02,1,0,1,0,0,0,0,0
383,2304040,0:08,1,32,0,1,14,0,2,0,0,-1,0,-1,1,1,1,0,0,0,0,0
385,2304041,0:07,1,73,0,1,5,0,5,1,0,-1,N64,2066-12,1,0,1,0,0,0,0,0
390,2304043,0:09,1,37,1,1,8,0,5,0,0,-1,N68,2057-10,1,1,1,0,0,0,0,0
398,2304044,0:07,1,39,1,1,9,0,5,0,0,-1,F091,2055-10,1,1,1,0,0,0,0,0
403,2304045,0:07,1,45,1,0,5,0,5,0,0,-1,N78,2048-11,1,0,1,0,0,0,0,0
413,2304046,0:06,1,45,0,1,10,0,5,0,0,-1,0,-1,1,1,1,0,0,0,0,0
415,2304049,0:10,1,79,0,1,0,0,5,0,0,-1,N64,2019-12,1,0,1,0,0,0,0,0
420,2304050,0:04,1,61,1,1,0,0,5,0,0,-1,N61,2042-01,1,0,1,0,0,0,0,0
424,2304051,0:08,1,50,0,1,9,0,2,1,0,-1,N64,2060-08,4,1,0,0,0,1,0,0
428,2304052,0:06,1,35,1,1,10,0,5,0,0,-1,0,-1,1,1,1,0,0,0,0,0
430,2304053,0:10,1,60,0,1,0,0,5,0,0,-1,N68,2024,1,0,1,0,0,0,0,0
436,2304055,0:06,1,38,1,1,3,0,5,0,0,-1,0,-1,1,0,1,0,0,0,0,0
440,2304056,0:06,1,40,1,1,8,0,5,1,0,-1,F091,2056-08,1,1,1,0,0,0,0,0
447,2304059,0:10,1,40,1,1,10,0,1,0,0,-1,N56,2059-02,1,1,1,0,0,0,0,0
450,2304064,0:08,1,48,1,1,7,0,5,0,0,-1,N56,2051-08,3,1,0,0,1,0,0,0
456,2304065,0:09,1,31,1,1,3,0,5,0,0,-1,0,-1,1,0,1,0,0,0,0,0
462,2304070,0:15,1,67,0,1,0,0,5,1,0,-1,N65,2021-11,3,0,0,0,1,0,0,0
470,2304071,0:07,1,77,0,1,0,0,5,1,0,-1,N64,2030-11,1,0,1,0,0,0,0,0
472,2304072,0:06,1,37,1,1,5,0,5,0,0,-1,N56,2058-01,3,0,0,0,1,0,0,0
476,2304075,0:10,1,60,1,1,0,0,5,0,0,-1,N63,2030-08,3,0,0,0,1,0,0,0
485,2304076,0:06,1,32,1,1,7,0,5,0,0,-1,N64,2076-11,2,1,0,1,0,0,0,0
488,2304083,0:07,1,66,0,1,3,0,5,0,0,-1,N68,2027-11,1,0,1,0,0,0,0,0
493,2304084,0:05,1,35,1,1,8,0,5,0,0,-1,N56,2068-11,1,1,1,0,0,0,0,0
496,2304085,0:10,1,61,1,1,0,0,5,0,0,-1,0,-1,5,0,0,0,0,0,1,0
507,2304086,0:07,1,43,0,1,8,0,5,1,0,-1,0,-1,5,1,0,0,0,0,1,0
