,Unnamed: 0.1,Unnamed: 0,HHID,Subward,Radio,Television,Newspapers,AgExtension,Veterinarian,MigrantLabor,OtherGov,LocalFriend,DistantFriend,Religious,Scientist,SocialMedia,SourceNumber,SourceIndex,PublicSources,Local,National,LocalIndex,NationalIndex,Professional,Government
22,22,22,2301069,2301,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,1,3,0,1.29008826316527,-1.3464564035252622,0.19962640450010133,1.0958447106571523
23,23,23,2301070,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2,-0.8897600045034108,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
24,24,24,2301071,2301,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,6,0.954302180995886,0,2,3,0.2742707331138763,1.572162968278052,0.19962640450010133,-0.6217802276769422
25,25,25,2301072,2301,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,5,0.4932866346210617,0,2,2,0.2742707331138763,0.599289844343614,-0.6995916337886435,-0.6217802276769422
26,26,26,2301073,2301,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,5,0.4932866346210617,1,3,1,1.29008826316527,-0.3735832795908241,0.19962640450010133,1.0958447106571523
27,27,27,2301074,2301,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,6,0.954302180995886,1,3,2,1.29008826316527,0.599289844343614,0.19962640450010133,1.0958447106571523
28,28,28,2301075,2301,1.0,3.0,0.0,3.0,3.0,2.0,0.0,4.0,3.0,0.0,0.0,4.0,8,1.8763332737455345,1,4,3,2.3059057932166636,1.572162968278052,1.998062481077591,1.0958447106571523
29,29,29,2301086,2301,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,6,0.954302180995886,0,2,3,0.2742707331138763,1.572162968278052,-0.6995916337886435,-0.6217802276769422
30,30,30,2301087,2301,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,4,0.0322710882462376,0,0,2,-1.757364326988911,0.599289844343614,0.19962640450010133,-0.6217802276769422
31,31,31,2301092,2301,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4,0.0322710882462376,0,2,1,0.2742707331138763,-0.3735832795908241,0.19962640450010133,-0.6217802276769422
32,32,32,2301093,2301,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4,0.0322710882462376,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
33,33,33,2301094,2301,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,5,0.4932866346210617,1,2,1,0.2742707331138763,-0.3735832795908241,0.19962640450010133,1.0958447106571523
34,34,34,2301096,2301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3,-0.4287444581285865,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
35,35,35,2301099,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3,-0.4287444581285865,0,1,1,-0.7415467969375173,-0.3735832795908241,0.19962640450010133,-0.6217802276769422
36,36,36,2301100,2301,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3,-0.4287444581285865,0,1,2,-0.7415467969375173,0.599289844343614,-0.6995916337886435,-0.6217802276769422
37,37,37,2301104,2301,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,4,0.0322710882462376,0,1,3,-0.7415467969375173,1.572162968278052,0.19962640450010133,-0.6217802276769422
38,38,38,2301105,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,2,-0.8897600045034108,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
39,39,39,2301108,2301,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4,0.0322710882462376,0,2,1,0.2742707331138763,-0.3735832795908241,-0.6995916337886435,-0.6217802276769422
40,40,40,2301111,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2,-0.8897600045034108,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
41,41,41,2301113,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0,1,0,-0.7415467969375173,-1.3464564035252622,-0.6995916337886435,-0.6217802276769422
