,HHID,Year,Total,Farm_Prop,Livestock_Prop,Remittances_Prop,Off-Farm Employment_Prop,Other_Prop
0,2301006,72,385000.0,0.06493506493506493,0.3116883116883117,0.0,0.3116883116883117,0.3116883116883117
1,2301007,72,82000.0,0.0,0.12195121951219512,0.0,0.8780487804878049,0.0
2,2301013,72,22000.0,0.0,1.0,0.0,0.0,0.0
3,2301016,72,549000.0,0.0,0.052823315118397086,0.0,0.7285974499089253,0.2185792349726776
4,2301017,72,18000.0,1.0,0.0,0.0,0.0,0.0
5,2301021,72,350000.0,0.011428571428571429,0.07428571428571429,0.5714285714285714,0.0,0.34285714285714286
6,2301029,72,187000.0,0.0374331550802139,0.0,0.0,0.9625668449197861,0.0
7,2301037,72,680000.0,0.11764705882352941,0.0,0.0,0.8823529411764706,0.0
8,2301038,72,27000.0,0.5555555555555556,0.0,0.0,0.0,0.4444444444444444
9,2301041,72,298000.0,0.006711409395973154,0.0,0.33557046979865773,0.0,0.6577181208053692
10,2301043,72,244500.0,0.018404907975460124,0.0,0.0,0.9815950920245399,0.0
11,2301044,72,420000.0,0.07142857142857142,0.6904761904761905,0.23809523809523808,0.0,0.0
12,2301046,72,70000.0,0.24285714285714285,0.7571428571428571,0.0,0.0,0.0
13,2301047,72,12000.0,0.0,0.0,0.0,0.0,1.0
14,2301048,72,0.0,,,,,
15,2301053,72,370000.0,0.0,0.05405405405405406,0.8108108108108109,0.13513513513513514,0.0
16,2301056,72,113000.0,0.0,0.11504424778761062,0.0,0.8849557522123894,0.0
17,2301057,72,780000.0,0.0,0.0,1.0,0.0,0.0
18,2301058,72,185000.0,0.0,0.0,0.0,1.0,0.0
19,2301059,72,255000.0,0.0,0.0,0.0,1.0,0.0
20,2301060,72,180000.0,0.0,0.0,1.0,0.0,0.0
21,2301068,72,305000.0,0.01639344262295082,0.0,0.9836065573770492,0.0,0.0
22,2301069,72,102000.0,0.8823529411764706,0.0,0.0,0.0,0.11764705882352941
23,2301070,72,712000.0,0.016853932584269662,0.0,0.702247191011236,0.0,0.2808988764044944
24,2301071,72,990000.0,0.030303030303030304,0.0,0.9696969696969697,0.0,0.0
25,2301072,72,650000.0,0.12307692307692308,0.015384615384615385,0.5538461538461539,0.3076923076923077,0.0
26,2301073,72,558000.0,0.08960573476702509,0.12903225806451613,0.7168458781362007,0.0,0.06451612903225806
27,2301074,72,610000.0,0.4098360655737705,0.0,0.5901639344262295,0.0,0.0
28,2301075,72,642000.0,0.03426791277258567,0.020249221183800622,0.778816199376947,0.16666666666666666,0.0
29,2301086,72,500000.0,0.0,0.0,1.0,0.0,0.0
30,2301087,72,20000.0,1.0,0.0,0.0,0.0,0.0
31,2301092,72,261000.0,0.08045977011494253,0.0,0.0,0.0,0.9195402298850575
32,2301093,72,326000.0,0.24539877300613497,0.11042944785276074,0.0,0.5521472392638037,0.09202453987730061
33,2301094,72,440000.0,0.2727272727272727,0.38636363636363635,0.0,0.3409090909090909,0.0
34,2301096,72,110000.0,0.07272727272727272,0.0,0.8181818181818182,0.0,0.10909090909090909
35,2301099,72,56000.0,0.10714285714285714,0.0,0.8928571428571429,0.0,0.0
36,2301100,72,77000.0,0.23376623376623376,0.0,0.0,0.45454545454545453,0.3116883116883117
37,2301104,72,200000.0,0.0,0.0,0.0,1.0,0.0
38,2301105,72,242000.0,0.17355371900826447,0.0,0.0,0.8264462809917356,0.0
39,2301108,72,19000.0,1.0,0.0,0.0,0.0,0.0
40,2301111,72,503000.0,0.3976143141153082,0.02982107355864811,0.5725646123260437,0.0,0.0
41,2301113,72,261000.0,0.06130268199233716,0.05747126436781609,0.0,0.8812260536398467,0.0
42,2301116,72,105000.0,0.0,0.38095238095238093,0.3333333333333333,0.2857142857142857,0.0
43,2301122,72,0.0,,,,,
44,2301124,72,242000.0,0.0,0.008264462809917356,0.9917355371900827,0.0,0.0
45,2301125,72,1000000.0,0.0,0.0,1.0,0.0,0.0
46,2301126,72,36000.0,0.0,0.0,0.0,0.0,1.0
47,2301127,72,520000.0,0.038461538461538464,0.0,0.0,0.9615384615384616,0.0
48,2301128,72,250000.0,0.06,0.14,0.0,0.8,0.0
49,2301129,72,134000.0,0.0,0.1044776119402985,0.0,0.8955223880597015,0.0
50,2301130,72,241600.0,0.006622516556291391,0.0,0.9933774834437086,0.0,0.0
51,2301132,72,200000.0,0.0,0.0,1.0,0.0,0.0
52,2304001,72,18000.0,0.0,1.0,0.0,0.0,0.0
53,2304002,72,32000.0,0.0625,0.9375,0.0,0.0,0.0
54,2304003,72,240000.0,0.0,0.25,0.0,0.0,0.75
55,2304004,72,118400.0,0.12162162162162163,0.8783783783783784,0.0,0.0,0.0
56,2304006,72,408000.0,0.0,0.0,0.8823529411764706,0.0,0.11764705882352941
57,2304007,72,614000.0,0.0,0.3257328990228013,0.5863192182410424,0.0,0.08794788273615635
58,2304009,72,514000.0,0.19455252918287938,0.2918287937743191,0.0,0.5136186770428015,0.0
59,2304010,72,4000.0,0.0,1.0,0.0,0.0,0.0
60,2304011,72,445000.0,0.02247191011235955,0.16853932584269662,0.0,0.8089887640449438,0.0
61,2304014,72,180000.0,0.0,1.0,0.0,0.0,0.0
62,2304015,72,732000.0,0.0,0.0,0.9562841530054644,0.0,0.04371584699453552
63,2304020,72,164000.0,0.0,0.0,0.0,0.9146341463414634,0.08536585365853659
64,2304021,72,130000.0,0.0,0.0,0.0,1.0,0.0
65,2304022,72,181000.0,0.19337016574585636,0.6519337016574586,0.0,0.15469613259668508,0.0
66,2304024,72,258000.0,0.0,0.4186046511627907,0.0,0.5813953488372093,0.0
67,2304025,72,397500.0,0.0,0.0440251572327044,0.9559748427672956,0.0,0.0
68,2304026,72,303000.0,0.0,0.009900990099009901,0.0,0.9900990099009901,0.0
69,2304027,72,64000.0,0.21875,0.0,0.78125,0.0,0.0
70,2304028,72,4000.0,1.0,0.0,0.0,0.0,0.0
71,2304029,72,7000.0,1.0,0.0,0.0,0.0,0.0
72,2304030,72,33000.0,0.15151515151515152,0.8484848484848485,0.0,0.0,0.0
73,2304031,72,100000.0,0.0,0.0,0.0,1.0,0.0
74,2304032,72,160000.0,0.0,0.0,0.0,1.0,0.0
75,2304033,72,377000.0,0.07957559681697612,0.09283819628647215,0.0,0.8275862068965517,0.0
76,2304034,72,70000.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0
77,2304035,72,289000.0,0.15570934256055363,0.3460207612456747,0.0,0.4982698961937716,0.0
78,2304036,72,580000.0,0.3103448275862069,0.1724137931034483,0.0,0.5172413793103449,0.0
79,2304037,72,515000.0,0.02912621359223301,0.970873786407767,0.0,0.0,0.0
80,2304038,72,105000.0,0.5238095238095238,0.0,0.0,0.47619047619047616,0.0
81,2304039,72,531000.0,0.03766478342749529,0.047080979284369114,0.903954802259887,0.0,0.011299435028248588
82,2304040,72,312000.0,0.041666666666666664,0.04807692307692308,0.0,0.8461538461538461,0.0641025641025641
83,2304041,72,121000.0,0.49586776859504134,0.5041322314049587,0.0,0.0,0.0
84,2304043,72,120000.0,0.11666666666666667,0.13333333333333333,0.0,0.75,0.0
85,2304044,72,1068000.0,0.0,0.04119850187265917,0.0,0.9363295880149812,0.02247191011235955
86,2304045,72,2000000.0,0.0,0.12,0.18,0.7,0.0
87,2304046,72,574000.0,0.0,1.0,0.0,0.0,0.0
88,2304049,72,42000.0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571
89,2304050,72,30000.0,0.0,1.0,0.0,0.0,0.0
90,2304051,72,227000.0,0.0,0.0,0.0,0.31718061674008813,0.6828193832599119
91,2304052,72,140000.0,0.0,0.0,1.0,0.0,0.0
92,2304053,72,99500.0,0.04522613065326633,0.35175879396984927,0.0,0.6030150753768844,0.0
93,2304055,72,237000.0,0.0,0.11392405063291139,0.0,0.8860759493670886,0.0
94,2304056,72,108000.0,0.0,0.0,0.0,1.0,0.0
95,2304059,72,232000.0,0.0,0.43103448275862066,0.0,0.5172413793103449,0.05172413793103448
96,2304064,72,580000.0,0.0,0.0,1.0,0.0,0.0
97,2304065,72,200000.0,0.0,0.0,0.0,0.0,1.0
98,2304070,72,74000.0,0.0,0.0,0.40540540540540543,0.2702702702702703,0.32432432432432434
99,2304071,72,0.0,,,,,
100,2304072,72,204000.0,0.0,0.00980392156862745,0.9803921568627451,0.00980392156862745,0.0
101,2304075,72,60000.0,0.0,0.0,0.0,1.0,0.0
102,2304076,72,100000.0,0.0,0.0,0.0,1.0,0.0
103,2304083,72,67000.0,0.1791044776119403,0.22388059701492538,0.0,0.5970149253731343,0.0
104,2304084,72,100000.0,0.0,0.0,1.0,0.0,0.0
