Year,A1a,A2a,A3a,A4a,A5a,C12,C13,D14,D15,D16,Total_Land,Cereal Crops,Cash Crops,Total Migration,Local Migration,Intl Migration,NonFarm Jobs
72,0.45503347884528156,0.28664466648078873,0.0027049408866380085,0.24839680234372727,0.00722011144356453,0.078,0.3,0.082,0.144,0.326,24.030099999999997,0.7443830862127083,0.2556169137872918,0.378,0.078,0.3,0.552
73,0.4541009405393412,0.283891671563169,0.005136191247108324,0.25015305849916386,0.006718138151217689,0.082,0.312,0.09,0.142,0.33,24.3371,0.7431288033496185,0.25687119665038155,0.394,0.082,0.312,0.562
74,0.453023827620436,0.28255479272836015,0.0026996606734199717,0.2514422417982232,0.010279477179560662,0.086,0.31,0.094,0.158,0.346,24.077099999999998,0.7382782810222162,0.2617217189777839,0.396,0.086,0.31,0.598
75,0.45206479523088405,0.2783792014484229,0.0023778831833598238,0.2569365355493536,0.010241584587979592,0.084,0.332,0.106,0.18,0.348,23.9709,0.7328218798626668,0.26717812013733316,0.41600000000000004,0.084,0.332,0.6339999999999999
76,0.4437794509015317,0.281691264777819,0.0026732740425090473,0.25982627708684947,0.012029733191290711,0.082,0.344,0.122,0.188,0.374,25.062900000000003,0.7281439897218598,0.27185601027814016,0.426,0.082,0.344,0.6839999999999999
77,0.4313456280179184,0.2793026547986115,0.006787286442880136,0.26319157600791204,0.019372854732677875,0.098,0.34,0.142,0.206,0.412,25.7835,0.7174355692594101,0.2825644307405899,0.43800000000000006,0.098,0.34,0.76
78,0.421247310841845,0.27808283562413305,0.011348916121192668,0.26752108338205344,0.021799854030775813,0.104,0.38,0.186,0.222,0.44,26.169900000000002,0.7106790625871707,0.28932093741282927,0.484,0.104,0.38,0.8480000000000001
