,HHID,SalienceIndex,Risk_Norm,CompositeRisk
0,2301006,0.673076923076923,0.2857142857142857,0.1923076923076923
1,2301007,0.4615384615384615,-0.14285714285714285,-0.06593406593406592
2,2301013,0.6153846153846153,0.14285714285714285,0.08791208791208789
3,2301016,1.0,0.42857142857142855,0.42857142857142855
4,2301017,0.6923076923076923,0.14285714285714285,0.0989010989010989
5,2301021,0.8269230769230769,0.0,0.0
6,2301029,0.30769230769230765,0.0,0.0
7,2301037,0.5769230769230769,0.2857142857142857,0.1648351648351648
8,2301038,0.5769230769230769,-0.14285714285714285,-0.0824175824175824
9,2301041,0.5384615384615384,0.42857142857142855,0.23076923076923075
10,2301043,0.9423076923076923,0.0,0.0
11,2301044,0.5769230769230769,0.42857142857142855,0.2472527472527472
12,2301046,0.5961538461538461,0.42857142857142855,0.2554945054945055
13,2301047,0.6153846153846153,-0.14285714285714285,-0.08791208791208789
14,2301048,0.6153846153846153,0.7142857142857143,0.4395604395604395
15,2301053,0.5576923076923077,1.0,0.5576923076923077
16,2301056,0.5384615384615384,0.5714285714285714,0.30769230769230765
17,2301057,0.5961538461538461,0.0,0.0
18,2301058,0.5576923076923076,-0.14285714285714285,-0.07967032967032965
19,2301059,0.6153846153846153,0.14285714285714285,0.08791208791208789
20,2301060,0.46153846153846156,-0.14285714285714285,-0.06593406593406594
21,2301068,0.2692307692307692,0.0,0.0
22,2301069,0.7307692307692307,0.14285714285714285,0.10439560439560439
23,2301070,0.5384615384615384,0.7142857142857143,0.3846153846153846
24,2301071,0.6923076923076923,0.14285714285714285,0.0989010989010989
25,2301072,0.7499999999999999,0.42857142857142855,0.32142857142857134
26,2301073,0.5,0.5714285714285714,0.2857142857142857
27,2301074,0.7884615384615384,0.42857142857142855,0.3379120879120879
28,2301075,0.36538461538461536,0.7142857142857143,0.260989010989011
29,2301086,0.4807692307692308,0.14285714285714285,0.06868131868131867
30,2301087,0.5192307692307693,-0.14285714285714285,-0.07417582417582418
31,2301092,0.7307692307692307,0.42857142857142855,0.31318681318681313
32,2301093,0.6346153846153846,0.2857142857142857,0.18131868131868129
33,2301094,0.6923076923076923,0.42857142857142855,0.2967032967032967
34,2301096,0.28846153846153844,0.42857142857142855,0.1236263736263736
35,2301099,0.6346153846153846,-0.42857142857142855,-0.27197802197802196
36,2301100,0.6538461538461537,-0.14285714285714285,-0.09340659340659338
37,2301104,0.5769230769230769,0.42857142857142855,0.2472527472527472
38,2301105,0.6346153846153846,0.14285714285714285,0.09065934065934064
39,2301108,0.7307692307692307,0.0,0.0
40,2301111,0.673076923076923,0.42857142857142855,0.28846153846153844
41,2301113,0.6153846153846153,0.42857142857142855,0.2637362637362637
42,2301116,0.6923076923076923,0.7142857142857143,0.4945054945054945
43,2301122,0.6538461538461537,0.14285714285714285,0.09340659340659338
44,2301124,0.7115384615384615,1.0,0.7115384615384615
45,2301125,0.5961538461538461,0.2857142857142857,0.1703296703296703
46,2301126,0.6153846153846153,1.0,0.6153846153846153
47,2301127,0.673076923076923,0.14285714285714285,0.09615384615384615
48,2301128,0.5961538461538461,0.7142857142857143,0.4258241758241758
49,2301129,0.6153846153846153,1.0,0.6153846153846153
50,2301130,0.5769230769230769,0.0,0.0
51,2301132,0.7884615384615384,0.0,0.0
52,2304001,0.5576923076923077,0.8571428571428571,0.478021978021978
53,2304002,0.5961538461538461,0.2857142857142857,0.1703296703296703
54,2304003,0.5769230769230769,0.0,0.0
55,2304004,0.8846153846153846,0.42857142857142855,0.3791208791208791
56,2304006,0.6153846153846153,-0.14285714285714285,-0.08791208791208789
57,2304007,0.5961538461538461,0.5714285714285714,0.3406593406593406
58,2304009,0.7692307692307693,0.42857142857142855,0.32967032967032966
59,2304010,0.6153846153846153,0.2857142857142857,0.17582417582417578
60,2304011,0.5769230769230769,0.5714285714285714,0.3296703296703296
61,2304014,0.6538461538461537,0.7142857142857143,0.467032967032967
62,2304015,0.7115384615384615,0.42857142857142855,0.3049450549450549
63,2304020,0.5384615384615384,0.14285714285714285,0.07692307692307691
64,2304021,0.4615384615384615,0.14285714285714285,0.06593406593406592
65,2304022,0.38461538461538464,0.42857142857142855,0.16483516483516483
66,2304024,0.38461538461538464,-0.2857142857142857,-0.10989010989010989
67,2304025,0.4230769230769231,0.2857142857142857,0.12087912087912087
68,2304026,0.7499999999999999,0.7142857142857143,0.5357142857142857
69,2304027,0.5961538461538461,0.5714285714285714,0.3406593406593406
70,2304028,0.5384615384615384,0.14285714285714285,0.07692307692307691
71,2304029,0.5769230769230769,0.7142857142857143,0.41208791208791207
72,2304030,0.6153846153846153,0.14285714285714285,0.08791208791208789
73,2304031,0.36538461538461536,0.42857142857142855,0.15659340659340656
74,2304032,0.34615384615384615,0.2857142857142857,0.0989010989010989
75,2304033,0.5961538461538461,0.5714285714285714,0.3406593406593406
76,2304034,0.5769230769230769,0.5714285714285714,0.3296703296703296
77,2304035,0.5769230769230769,0.5714285714285714,0.3296703296703296
78,2304036,0.7307692307692307,0.2857142857142857,0.20879120879120877
79,2304037,0.6153846153846153,0.5714285714285714,0.35164835164835156
80,2304038,0.7499999999999999,0.2857142857142857,0.21428571428571425
81,2304039,0.5769230769230769,0.5714285714285714,0.3296703296703296
82,2304040,0.7115384615384615,-0.14285714285714285,-0.10164835164835163
83,2304041,0.8076923076923077,0.42857142857142855,0.34615384615384615
84,2304043,0.673076923076923,0.2857142857142857,0.1923076923076923
85,2304044,0.8076923076923077,0.2857142857142857,0.23076923076923075
86,2304045,0.38461538461538464,0.42857142857142855,0.16483516483516483
