,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Own Land,Annual Income,Land Owned,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
61,2304014,0:07,1,55,1,1,8,0,5,0,0,-1,F091,2043-10,1,1,500000,0.0,1,1,0,0,0,0,0
62,2304015,0:07,1,38,1,1,10,0,5,0,0,-1,N56,2059-11,1,1,350000,0.0,1,1,0,0,0,0,0
63,2304020,0:10,1,65,0,1,0,0,5,0,0,-1,N68,2019,3,1,150000,0.0,0,0,0,1,0,0,0
64,2304021,0:05,1,37,1,1,6,0,5,0,0,-1,0,-1,3,0,30000,0.0,1,0,0,1,0,0,0
65,2304022,0:06,1,50,0,1,0,0,5,1,0,-1,0,-1,3,1,100000,0.0,0,0,0,1,0,0,0
66,2304024,0:05,1,36,0,1,7,0,2,1,0,-1,0,-1,5,1,350000,0.0,1,0,0,0,0,1,0
67,2304025,0:03,1,30,0,1,10,0,5,1,0,-1,0,-1,5,1,3500000,0.0,1,0,0,0,0,1,0
68,2304026,0:07,1,36,1,1,6,0,5,0,0,-1,N56,2058-03,5,1,400000,0.0,1,0,0,0,0,1,0
69,2304027,0:07,1,33,1,1,9,0,5,0,0,-1,N81,2063-03,1,1,200000,0.0,1,1,0,0,0,0,0
70,2304028,0:06,1,39,1,1,4,0,5,0,0,-1,N56,2060-11,1,1,350000,0.0,0,1,0,0,0,0,0
71,2304029,0:04,1,30,1,1,10,0,5,0,0,-1,N49,2059-02,1,1,500000,0.0,1,1,0,0,0,0,0
72,2304030,0:10,1,40,1,1,6,0,6,0,0,-1,N56,2048-10,1,1,250000,0.0,1,1,0,0,0,0,0
73,2304031,0:05,1,29,0,1,7,0,2,0,0,-1,0,-1,5,1,110000,0.0,1,0,0,0,0,1,0
74,2304032,0:06,1,38,0,3,0,0,2,0,0,-1,0,-1,5,0,130000,0.0,0,0,0,0,0,1,0
75,2304033,0:08,1,72,0,1,0,0,5,0,0,-1,N61,2017-10,1,1,200000,0.0,0,1,0,0,0,0,0
76,2304034,0:04,1,58,0,1,10,0,5,1,0,-1,N97,2048-02,1,1,500000,0.0,1,1,0,0,0,0,0
77,2304035,0:06,1,50,0,1,9,0,5,0,0,-1,N68,2046-10,1,1,300000,3.0,1,1,0,0,0,0,0
78,2304036,0:04,1,26,0,1,12,0,5,0,0,-1,0,-1,1,1,180000,0.0,1,1,0,0,0,0,0
79,2304037,0:05,1,48,0,1,10,0,5,1,0,-1,0,-1,1,1,500000,0.0,1,1,0,0,0,0,0
80,2304038,0:08,1,62,0,1,3,0,1,0,0,-1,N64,2022-11,1,1,90000,0.0,0,1,0,0,0,0,0
81,2304039,0:07,1,60,1,3,0,0,5,0,0,-1,N64,2020-02,1,1,390000,0.0,0,1,0,0,0,0,0
82,2304040,0:08,1,32,0,1,14,0,2,0,0,-1,0,-1,1,1,550000,20.0,1,1,0,0,0,0,0
83,2304041,0:07,1,73,0,1,5,0,5,1,0,-1,N64,2066-12,1,1,600000,0.0,0,1,0,0,0,0,0
84,2304043,0:09,1,37,1,1,8,0,5,0,0,-1,N68,2057-10,1,1,150000,0.0,1,1,0,0,0,0,0
85,2304044,0:07,1,39,1,1,9,0,5,0,0,-1,F091,2055-10,1,1,1000000,0.0,1,1,0,0,0,0,0
86,2304045,0:07,1,45,1,0,5,0,5,0,0,-1,N78,2048-11,1,1,1700000,0.0,0,1,0,0,0,0,0
87,2304046,0:06,1,45,0,1,10,0,5,0,0,-1,0,-1,1,1,300000,0.0,1,1,0,0,0,0,0
88,2304049,0:10,1,79,0,1,0,0,5,0,0,-1,N64,2019-12,1,1,100000,0.0,0,1,0,0,0,0,0
89,2304050,0:04,1,61,1,1,0,0,5,0,0,-1,N61,2042-01,1,1,50000,0.0,0,1,0,0,0,0,0
90,2304051,0:08,1,50,0,1,9,0,2,1,0,-1,N64,2060-08,4,1,320000,0.0,1,0,0,0,1,0,0
91,2304052,0:06,1,35,1,1,10,0,5,0,0,-1,0,-1,1,1,150000,0.0,1,1,0,0,0,0,0
92,2304053,0:10,1,60,0,1,0,0,5,0,0,-1,N68,2024,1,1,100000,0.0,0,1,0,0,0,0,0
93,2304055,0:06,1,38,1,1,3,0,5,0,0,-1,0,-1,1,1,280000,0.0,0,1,0,0,0,0,0
94,2304056,0:06,1,40,1,1,8,0,5,1,0,-1,F091,2056-08,1,1,200000,0.0,1,1,0,0,0,0,0
95,2304059,0:10,1,40,1,1,10,0,1,0,0,-1,N56,2059-02,1,1,400000,0.0,1,1,0,0,0,0,0
96,2304064,0:08,1,48,1,1,7,0,5,0,0,-1,N56,2051-08,3,1,300000,3.0,1,0,0,1,0,0,0
97,2304065,0:09,1,31,1,1,3,0,5,0,0,-1,0,-1,1,1,300000,0.0,0,1,0,0,0,0,0
98,2304070,0:15,1,67,0,1,0,0,5,1,0,-1,N65,2021-11,3,1,80000,0.0,0,0,0,1,0,0,0
99,2304071,0:07,1,77,0,1,0,0,5,1,0,-1,N64,2030-11,1,1,100000,0.0,0,1,0,0,0,0,0
100,2304072,0:06,1,37,1,1,5,0,5,0,0,-1,N56,2058-01,3,1,200000,0.0,0,0,0,1,0,0,0
101,2304075,0:10,1,60,1,1,0,0,5,0,0,-1,N63,2030-08,3,1,100000,0.0,0,0,0,1,0,0,0
102,2304076,0:06,1,32,1,1,7,0,5,0,0,-1,N64,2076-11,2,1,60000,0.0,1,0,1,0,0,0,0
103,2304083,0:07,1,66,0,1,3,0,5,0,0,-1,N68,2027-11,1,1,200000,0.0,0,1,0,0,0,0,0
104,2304084,0:05,1,35,1,1,8,0,5,0,0,-1,N56,2068-11,1,1,800000,0.0,1,1,0,0,0,0,0
105,2304085,0:10,1,61,1,1,0,0,5,0,0,-1,0,-1,5,1,800000,0.0,0,0,0,0,0,1,0
106,2304086,0:07,1,43,0,1,8,0,5,1,0,-1,0,-1,5,1,100000,0.0,1,0,0,0,0,1,0
107,2304087,0:13,1,55,1,3,0,0,5,0,0,-1,N56,2040-11,5,1,90000,0.0,0,0,0,0,0,1,0
108,2304089,0:09,1,37,1,3,6,0,2,0,0,-1,N56,2058-06,5,1,300000,0.0,1,0,0,0,0,1,0
109,2304090,0:08,1,48,0,1,7,0,5,1,0,-1,0,-1,5,1,450000,0.0,1,0,0,0,0,1,0
110,2304091,0:08,1,45,1,1,0,0,5,0,0,-1,N56,2050-03,5,1,300000,0.0,0,0,0,0,0,1,0
111,2304092,0:04,1,52,0,1,7,0,5,1,0,-1,0,-1,5,1,20000,0.0,1,0,0,0,0,1,0
112,2304094,0:05,1,50,1,1,0,0,5,0,0,-1,N56,2038-11,5,1,300000,0.0,0,0,0,0,0,1,0
113,2304098,0:05,1,64,0,1,10,0,5,0,0,-1,N10,2064-06,4,1,250000,0.0,1,0,0,0,1,0,0
114,2304103,0:07,1,59,0,1,0,0,5,0,0,-1,0,-1,1,1,1000000,0.0,0,1,0,0,0,0,0
115,2304105,0:05,1,33,1,1,7,0,5,1,0,-1,N21,2073-08,1,1,150000,0.0,1,1,0,0,0,0,0
116,2304110,0:12,1,63,0,1,0,0,5,0,0,-1,N68,2020-03,3,1,100000,0.0,0,0,0,1,0,0,0
117,2304111,0:10,1,52,1,1,0,0,5,1,0,-1,N56,2042-06,3,1,500000,0.0,0,0,0,1,0,0,0
118,2304112,0:06,1,27,1,1,8,0,2,1,F971,2078-06,0,-1,3,1,250000,0.0,1,0,0,1,0,0,0
119,2304118,0:05,1,27,1,1,12,0,5,0,0,-1,N56,2071-11,1,1,250000,0.0,1,1,0,0,0,0,0
120,2304119,0:08,1,60,1,3,0,0,5,0,0,-1,0,-1,5,1,200000,0.0,0,0,0,0,0,1,0
121,2304121,0:10,1,49,0,1,10,0,5,1,0,-1,N67,2066-01,1,1,250000,0.0,1,1,0,0,0,0,0
122,2304122,0:05,1,59,1,1,0,0,5,0,0,-1,N64,2020-05,4,1,50000,11.0,0,0,0,0,1,0,0
123,2304123,0:05,1,55,1,1,10,0,6,0,0,-1,N67,2065-07,1,1,300000,0.0,1,1,0,0,0,0,0
124,2304124,0:11,1,36,1,1,9,0,5,0,0,-1,N68,2075-07,1,1,250000,4.5,1,1,0,0,0,0,0
125,2304126,0:11,1,53,1,3,3,0,5,0,0,-1,N67,2058-10,1,1,45000,0.0,0,1,0,0,0,0,0
126,2304130,0:08,1,35,1,1,14,0,1,0,0,-1,N56,2065-08,1,1,300000,0.0,1,1,0,0,0,0,0
127,2304131,0:12,1,82,0,1,5,0,5,0,0,-1,N79,2039-10,1,1,400000,6.8,0,1,0,0,0,0,0
128,2304132,0:04,1,40,1,1,4,0,5,0,0,-1,N78,2058-11,1,1,200000,0.0,0,1,0,0,0,0,0
129,2304133,0:07,1,65,0,1,8,0,5,1,0,-1,F091,2035-10,1,1,260000,0.0,1,1,0,0,0,0,0
130,2304134,0:07,1,37,1,1,8,0,5,0,0,-1,N12,2065-10,1,1,700000,0.0,1,1,0,0,0,0,0
131,2304135,0:05,1,43,1,1,16,0,2,0,0,-1,N56,2056-03,1,1,400000,0.0,1,1,0,0,0,0,0
132,2304136,0:18,1,62,0,1,10,0,0,1,0,-1,F091,2017-09,1,1,400000,0.0,1,1,0,0,0,0,0
133,2304139,0:05,1,52,0,1,10,0,5,0,0,-1,0,-1,1,1,1800000,5.0,1,1,0,0,0,0,0
134,2304140,0:09,1,63,0,1,0,0,5,1,0,-1,N97,2042-08,1,1,600000,0.0,0,1,0,0,0,0,0
135,2304141,0:10,1,60,1,1,0,0,5,0,0,-1,N56,2040-01,1,1,550000,0.0,0,1,0,0,0,0,0
136,2304146,0:08,1,30,1,1,12,0,5,0,0,-1,N56,2073-01,1,1,700000,0.0,1,1,0,0,0,0,0
137,2304147,0:06,1,39,1,1,10,0,5,0,0,-1,N51,2059-10,1,1,800000,0.0,1,1,0,0,0,0,0
138,2304148,0:05,1,42,1,1,10,0,5,0,0,-1,N53,2053-11,1,1,100000,0.0,1,1,0,0,0,0,0
139,2304149,0:05,1,50,0,1,9,0,5,1,0,-1,0,-1,1,1,80000,0.0,1,1,0,0,0,0,0
140,2304150,0:10,1,58,1,1,0,0,5,0,0,-1,N56,2036-02,1,1,700000,0.0,0,1,0,0,0,0,0
141,2304151,0:03,1,35,1,1,10,0,5,0,0,-1,N78,2064-08,1,1,400000,0.0,1,1,0,0,0,0,0
142,2304152,0:06,1,28,1,1,10,0,5,0,0,-1,N56,2071-11,1,1,500000,0.0,1,1,0,0,0,0,0
143,2304154,0:07,1,47,0,1,8,0,5,0,0,-1,0,-1,1,1,70000,0.0,1,1,0,0,0,0,0
144,2304155,0:07,1,44,0,1,3,0,5,1,0,-1,0,-1,3,1,100000,0.0,0,0,0,1,0,0,0
145,2304157,0:13,1,68,0,1,7,0,5,0,0,-1,N65,2023-11,4,1,400000,30.0,1,0,0,0,1,0,0
146,2304158,0:11,1,38,0,1,5,0,5,1,0,-1,N61,2052-04,5,1,200000,4.0,0,0,0,0,0,1,0
147,2304162,0:07,1,33,1,1,4,0,5,0,0,-1,N08,2063-08,3,1,300000,0.0,0,0,0,1,0,0,0
148,2304163,0:08,1,44,0,1,4,0,5,0,0,-1,0,-1,3,1,150000,0.0,0,0,0,1,0,0,0
149,2304164,0:08,1,29,1,1,8,0,5,1,0,-1,N56,2068-02,3,1,150000,0.0,1,0,0,1,0,0,0
150,2304166,0:11,1,42,0,1,4,0,5,1,0,-1,0,-1,3,1,300000,0.0,0,0,0,1,0,0,0
151,2304167,0:08,1,45,1,1,0,0,5,0,0,-1,N56,2049-10,3,1,100000,0.0,0,0,0,1,0,0,0
152,2304170,0:12,1,33,1,1,1,0,5,0,0,-1,0,-1,3,1,200000,0.0,0,0,0,1,0,0,0
153,2304173,0:09,1,69,1,3,0,0,5,0,0,-1,N68,2059-06,3,1,100000,0.0,0,0,0,1,0,0,0
154,2304174,0:12,1,57,0,1,12,0,5,1,0,-1,N67,2046-10,1,1,500000,0.0,1,1,0,0,0,0,0
155,2304175,0:06,1,46,0,1,7,0,5,1,0,-1,N68,2054-10,3,1,300000,0.0,1,0,0,1,0,0,0
156,2304176,0:06,1,50,1,3,0,0,1,1,0,-1,F091,2066-01,1,1,450000,0.0,0,1,0,0,0,0,0
157,2304177,0:10,1,46,1,1,8,0,5,0,0,-1,N56,2049-01,1,1,1200000,0.0,1,1,0,0,0,0,0
158,2309002,0:05,1,46,0,1,4,0,1,0,0,-1,N37,2065-05,3,1,150000,0.0,0,0,0,1,0,0,0
159,2309004,0:07,1,48,1,1,10,0,5,1,0,-1,F091,2052-08,1,1,400000,0.0,1,1,0,0,0,0,0
160,2309014,0:05,1,38,1,1,14,0,1,0,0,-1,N56,2058-11,1,1,400000,0.0,1,1,0,0,0,0,0
161,2309016,0:05,1,46,0,1,10,0,1,0,0,-1,0,-1,1,1,300000,10.0,1,1,0,0,0,0,0
162,2309021,0:03,1,40,1,1,10,0,1,0,0,-1,N56,2060-03,1,1,1200000,6.0,1,1,0,0,0,0,0
163,2309022,0:04,1,35,1,1,9,0,1,0,0,-1,N56,2061-06,1,1,500000,0.0,1,1,0,0,0,0,0
164,2309029,0:06,1,45,1,1,5,0,5,0,0,-1,N68,2070-01,1,0,250000,0.0,0,1,0,0,0,0,0
165,2309030,0:05,1,68,0,3,8,0,5,0,0,-1,N64,2018,1,1,150000,0.0,1,1,0,0,0,0,0
166,2309032,0:07,1,68,1,3,0,0,6,0,0,-1,N67,2017-11,1,1,800000,10.0,0,1,0,0,0,0,0
167,2309033,0:05,1,52,0,1,9,0,5,0,0,-1,0,-1,1,1,150000,8.0,1,1,0,0,0,0,0
168,2309036,0:08,1,54,1,1,5,0,5,0,0,-1,N61,2038-02,1,1,1200000,13.0,0,1,0,0,0,0,0
169,2309037,0:05,1,56,0,1,10,0,5,1,0,-1,0,-1,1,1,500000,0.0,1,1,0,0,0,0,0
170,2309039,0:05,1,48,0,1,10,0,5,1,0,-1,N10,2060-12,2,1,400000,0.0,1,0,1,0,0,0,0
171,2309041,0:07,1,40,1,1,12,0,5,0,0,-1,N64,2056-10,1,1,600000,40.0,1,1,0,0,0,0,0
172,2309042,0:12,1,56,1,1,10,0,5,0,0,-1,N67,2043-03,1,1,700000,5.0,1,1,0,0,0,0,0
173,2309045,0:04,1,58,1,1,0,0,5,0,0,-1,N79,2072-01,1,0,250000,0.0,0,1,0,0,0,0,0
174,2309053,0:10,1,35,1,1,0,0,5,0,0,-1,N57,2066-11,2,1,30000,0.0,0,0,1,0,0,0,0
175,2309054,0:07,1,55,0,3,0,0,3,0,0,-1,0,-1,5,1,30000,0.0,0,0,0,0,0,1,0
176,2309055,0:10,1,74,0,1,5,0,5,0,0,-1,N57,2036-02,1,1,800000,0.0,0,1,0,0,0,0,0
177,2309056,0:08,1,36,1,1,3,0,5,0,0,-1,0,-1,6,1,50000,0.0,0,0,0,0,0,0,1
178,2309057,0:07,1,38,1,1,14,0,2,0,0,-1,N62,2067-08,2,0,100000,0.0,1,0,1,0,0,0,0
179,2309059,0:04,1,36,1,1,7,0,5,0,0,-1,0,-1,1,1,400000,0.0,1,1,0,0,0,0,0
180,2309067,0:05,1,42,1,1,0,0,5,0,0,-1,N56,2065-07,5,1,250000,20.0,0,0,0,0,0,1,0
181,2309068,0:04,1,55,1,1,0,0,5,0,0,-1,N56,2050-02,3,1,100000,0.0,0,0,0,1,0,0,0
182,2309070,0:03,1,47,1,1,5,0,5,0,0,-1,N56,2072-09,1,1,200000,0.0,0,1,0,0,0,0,0
183,2309071,0:10,1,24,1,1,5,0,5,0,0,-1,0,-1,6,1,70000,0.0,0,0,0,0,0,0,1
184,2309074,0:07,1,71,1,3,0,0,5,0,0,-1,0,-1,6,1,100000,0.0,0,0,0,0,0,0,1
185,2309075,0:05,1,55,1,2,5,0,5,0,0,-1,N64,2043-02,1,1,100000,0.0,0,1,0,0,0,0,0
186,2309079,0:08,1,55,1,1,0,0,5,0,0,-1,N56,2036-01,5,1,100000,0.0,0,0,0,0,0,1,0
187,2309080,0:04,1,30,1,1,9,0,5,0,0,-1,N56,2071-01,6,1,100000,0.0,1,0,0,0,0,0,1
188,2309081,0:08,1,50,0,1,5,0,3,1,0,-1,0,-1,6,1,100000,0.0,0,0,0,0,0,0,1
189,2309082,0:06,1,43,1,1,7,0,5,0,0,-1,N56,2054-11,6,1,500000,0.0,1,0,0,0,0,0,1
190,2309083,0:08,1,38,1,1,3,0,5,0,0,-1,N56,2061-08,6,1,200000,0.0,0,0,0,0,0,0,1
191,2309084,0:06,1,51,1,1,0,0,5,0,0,-1,N56,2036-01,6,1,100000,0.0,0,0,0,0,0,0,1
192,2309085,0:10,1,57,0,1,0,0,5,0,0,-1,N56,2036-01,6,1,50000,0.0,0,0,0,0,0,0,1
193,2309086,0:06,1,42,1,1,5,0,5,0,0,-1,N56,2045-08,1,1,200000,0.0,0,1,0,0,0,0,0
194,2309087,0:09,1,18,1,1,5,0,5,0,0,-1,N56,2078-01,6,1,110000,0.0,0,0,0,0,0,0,1
195,2309088,0:11,1,55,0,1,5,0,5,1,0,-1,N10,2045-10,2,1,650000,0.0,0,0,1,0,0,0,0
196,2309089,0:07,1,62,1,1,0,0,5,0,0,-1,N65,2033-11,6,1,30000,0.0,0,0,0,0,0,0,1
197,2309092,0:04,1,65,0,1,1,0,5,0,0,-1,N56,2036-01,6,1,25000,0.0,0,0,0,0,0,0,1
198,2309093,0:04,1,67,0,1,0,0,5,0,0,-1,N62,2036-09,4,1,100000,0.0,0,0,0,0,1,0,0
199,2309094,0:10,1,63,1,3,0,0,5,0,0,-1,N10,2031,2,1,200000,0.0,0,0,1,0,0,0,0
200,2309097,0:07,1,33,0,1,12,0,2,1,0,-1,F091,2066-12,1,1,300000,0.0,1,1,0,0,0,0,0
201,2309098,0:10,1,28,1,1,10,0,5,0,0,-1,N68,2070-01,1,1,150000,0.0,1,1,0,0,0,0,0
202,2309100,0:10,1,40,1,1,3,0,1,1,0,-1,0,-1,1,1,700000,0.0,0,1,0,0,0,0,0
203,2309101,0:07,1,44,1,1,0,0,1,0,0,-1,F091,2066-10,3,1,600000,0.0,0,0,0,1,0,0,0
204,2309102,0:05,1,56,1,3,0,0,0,0,0,-1,0,-1,3,1,50000,0.0,0,0,0,1,0,0,0
205,2309127,0:06,1,42,0,1,5,0,3,1,0,-1,N56,2058-04,2,1,150000,0.0,0,0,1,0,0,0,0
206,2309128,0:10,1,48,1,1,0,0,5,0,0,-1,N08,2036-10,2,1,300000,0.0,0,0,1,0,0,0,0
207,2309133,0:06,1,44,1,1,0,0,5,0,0,-1,N56,2050-11,3,1,400000,0.0,0,0,0,1,0,0,0
208,2309134,0:09,1,40,0,1,10,0,5,1,0,-1,N88,2056-10,2,1,60000,0.0,1,0,1,0,0,0,0
209,2309139,0:05,1,45,1,1,0,0,5,0,0,-1,N56,2052-12,1,1,150000,0.0,0,1,0,0,0,0,0
210,2309140,0:12,1,49,1,1,0,0,5,0,0,-1,N65,2036-03,2,1,80000,0.0,0,0,1,0,0,0,0
211,2309141,0:06,1,29,1,1,8,0,5,0,0,-1,N75,2074-11,2,1,200000,0.0,1,0,1,0,0,0,0
212,2309147,0:04,1,52,1,3,0,0,5,0,0,-1,N56,2049-08,2,1,100000,0.0,0,0,1,0,0,0,0
213,2309150,0:05,1,47,1,1,2,0,2,0,0,-1,N61,2049-04,2,1,100000,0.0,0,0,1,0,0,0,0
